alpha,avg_cbf_a_mean,avg_cbf_a_std,avg_cbf_alpha_mean,avg_cbf_alpha_std,avg_cbf_c_mean,avg_cbf_c_std,avg_cbf_phi_mean,avg_cbf_phi_std,avg_deflection_mean,avg_deflection_std,avg_h_mean,avg_h_min,avg_qp_active_rate,avg_u_safe_clamp_rate,checkpoint,collision_rate,collision_rate_actual,collision_rate_corridor,collision_rate_open,collision_rate_perceived_only,epsilon0,fall_rate,fall_rate_corridor,fall_rate_open,frac_steps_close,goal_reach_rate,goal_reach_rate_corridor,goal_reach_rate_open,infeasibility_rate,lambda,mean_dist_traveled,mean_final_displacement,mean_h,mean_min_h,mean_phi_used,mean_start_latency,mean_time_to_goal,mean_v_along_cmd,mean_v_xy,mode,n_episodes,n_episodes_corridor,n_episodes_open,name,path_efficiency,phi,stuck_rate,stuck_rate_corridor,stuck_rate_open,timeout_rate,timeout_rate_corridor,timeout_rate_open
0.5,0.05000000074505806,0.0,0.4999999701976776,0.0,-0.10000000149011612,0.0,0.004999935626983643,0.0,0.2822321785459062,0.3197479636967182,0.13085730482637883,-0.13819444596767425,0.554171875,0.0,,0.875,0.21875,0.8709677419354839,0.8787878787878788,0.65625,,0.015625,0.0,0.030303030303030304,0.512828125,0.953125,1.0,0.9090909090909091,0.0,,6.720950246788561,3.784890052396804,0.13081818031147122,-0.08133209217339754,0.004999935626983643,12.703125,169.81967213114754,0.18663468543992445,0.38941742927581074,B0,64,31,33,B0_α=0.50,0.6406539030215025,,0.0,0.0,0.0,0.109375,0.12903225806451613,0.09090909090909091
2.0,0.05000000074505806,0.0,2.0,0.0,-0.10000000149011612,0.0,0.004999935626983643,0.0,0.15542855043744203,0.25699528408795597,0.1501674900688231,-0.16472003227472307,0.322125,0.0,,0.9384615384615385,0.23076923076923078,0.975609756097561,0.875,0.7076923076923077,,0.0,0.0,0.0,0.54534375,0.9692307692307692,1.0,0.9166666666666666,0.0,,7.919473521526044,3.971497521033654,0.15008627229556443,-0.0800138941177955,0.004999935626983643,12.046153846153846,161.04761904761904,0.19948723254844491,0.4334928841739893,B0,65,41,24,B0_α=2.00,0.578025061480078,,0.0,0.0,0.0,0.06153846153846154,0.024390243902439025,0.125
3.0,0.05000000074505806,0.0,3.0,0.0,-0.10000000149011612,0.0,0.004999935626983643,0.0,0.18332157507944066,0.30336518626176984,0.12045491213724017,-0.16161037957668303,0.351875,0.0,,0.890625,0.203125,0.8378378378378378,0.9629629629629629,0.6875,,0.015625,0.02702702702702703,0.0,0.561703125,0.875,0.8918918918918919,0.8518518518518519,0.0,,7.934337333776057,3.95103619992733,0.12045910317450761,-0.08709661569446325,0.004999935626983643,26.796875,135.05357142857142,0.23349943735774967,0.4439697015397251,B0,64,37,27,B0_α=3.00,0.5735405882388684,,0.0,0.0,0.0,0.09375,0.13513513513513514,0.037037037037037035
0.5,0.05000000074505806,0.0,0.4999999701976776,0.0,-0.10000000149011612,0.0,0.4999999701976776,0.0,0.35522174973855725,0.4019933700375259,0.2580780708491802,-0.13996014362573625,0.558453125,0.0,,0.7076923076923077,0.12307692307692308,0.782608695652174,0.6666666666666666,0.5846153846153846,,0.046153846153846156,0.0,0.07142857142857142,0.316125,0.8769230769230769,0.9130434782608695,0.8571428571428571,0.0,,7.979051383183553,4.269504662660452,0.25796380670368674,0.028882951002854568,0.4999999701976776,18.076923076923077,179.10526315789474,0.23171647040066762,0.44472262581065297,B1,65,23,42,B1_α=0.50_φ=0.50,0.589754411811642,0.5,0.03076923076923077,0.08695652173913043,0.0,0.24615384615384617,0.21739130434782608,0.2619047619047619
0.5,0.05000000074505806,0.0,0.4999999701976776,0.0,-0.10000000149011612,0.0,2.0,0.0,0.7013068073559553,0.5188787206858396,0.3109611415416002,-0.13519041728973388,0.769875,0.0,,0.49230769230769234,0.18461538461538463,0.4722222222222222,0.5172413793103449,0.3076923076923077,,0.03076923076923077,0.027777777777777776,0.034482758620689655,0.1700625,0.8615384615384616,0.8055555555555556,0.9310344827586207,0.0,,7.329712644907144,3.635456013679504,0.31099451158940794,0.0785214900970459,2.0,15.984615384615385,212.17857142857142,0.1944130817693058,0.4140037057772279,B1,65,36,29,B1_α=0.50_φ=2.00,0.5361209842911666,2.0,0.06153846153846154,0.05555555555555555,0.06896551724137931,0.47692307692307695,0.5,0.4482758620689655
2.0,0.05000000074505806,0.0,2.0,0.0,-0.10000000149011612,0.0,0.4999999701976776,0.0,0.26262022676935887,0.33153553935163654,0.15175636898726225,-0.10971307414770126,0.47878125,0.0,,0.875,0.1875,0.918918918918919,0.8148148148148148,0.6875,,0.03125,0.02702702702702703,0.037037037037037035,0.57565625,0.9375,0.918918918918919,0.9629629629629629,0.0,,6.830614359118044,3.420685884426348,0.15169298648089172,-0.03564233332872391,0.4999999701976776,30.25,153.21666666666667,0.19766598128693225,0.41040738831833007,B1,64,37,27,B1_α=2.00_φ=0.50,0.5726535632914703,0.5,0.0,0.0,0.0,0.09375,0.05405405405405406,0.14814814814814814
2.0,0.05000000074505806,0.0,2.0,0.0,-0.10000000149011612,0.0,2.0,0.0,0.4939080763817765,0.5101238469816745,0.20697613374888896,-0.1470846636891365,0.590375,0.0,,0.676923076923077,0.3076923076923077,0.6296296296296297,0.7105263157894737,0.36923076923076925,,0.046153846153846156,0.0,0.07894736842105263,0.2513125,0.8615384615384616,0.9259259259259259,0.8157894736842105,0.0,,7.6437196502318745,3.7233245980281096,0.2070185813754797,-0.027527256195361796,2.0,12.625,167.69642857142858,0.25080961947812136,0.47363081181794403,B1,65,27,38,B1_α=2.00_φ=2.00,0.5223241025189377,2.0,0.0,0.0,0.0,0.27692307692307694,0.37037037037037035,0.21052631578947367
3.0,0.05000000074505806,0.0,3.0,0.0,-0.10000000149011612,0.0,0.4999999701976776,0.0,0.22951532345163286,0.34841757075791246,0.16058793350309133,-0.14066046571731566,0.372921875,0.0,,0.8787878787878788,0.18181818181818182,0.918918918918919,0.8275862068965517,0.696969696969697,,0.030303030303030304,0.02702702702702703,0.034482758620689655,0.53434375,0.9242424242424242,0.972972972972973,0.8620689655172413,0.0,,7.9144324082316775,3.7161087743712193,0.1605403189510107,-0.05702004197872046,0.4999999701976776,18.753846153846155,127.91803278688525,0.20681959976327996,0.4450904605537653,B1,66,37,29,B1_α=3.00_φ=0.50,0.5438858096248059,0.5,0.030303030303030304,0.02702702702702703,0.034482758620689655,0.09090909090909091,0.05405405405405406,0.13793103448275862
3.0,0.05000000074505806,0.0,3.0,0.0,-0.10000000149011612,0.0,2.0,0.0,0.5079221974957036,0.5258613019483164,0.1684210824891925,-0.16230340075492858,0.5730625,0.001359375,,0.7692307692307693,0.18461538461538463,0.8275862068965517,0.7222222222222222,0.5846153846153846,,0.046153846153846156,0.06896551724137931,0.027777777777777776,0.46734375,0.9230769230769231,0.9310344827586207,0.9166666666666666,0.0,,8.033596612856938,3.8477212713314937,0.16837890853732823,-0.017631703156691332,2.0,12.6,139.45,0.2182926147080475,0.44540789524838326,B1,65,29,36,B1_α=3.00_φ=2.00,0.5185239341483441,2.0,0.015384615384615385,0.0,0.027777777777777776,0.18461538461538463,0.10344827586206896,0.25
0.5,0.05000000074505806,0.0,0.4999999701976776,0.0,-0.10000000149011612,0.0,1.52274217069149,0.3021128046810627,0.6156482015213697,0.49892083162767814,0.29685466140508654,-0.11018785870075226,0.7335,0.0,,0.453125,0.171875,0.3870967741935484,0.5151515151515151,0.28125,0.5,0.015625,0.0,0.030303030303030304,0.13553125,0.890625,0.8064516129032258,0.9696969696969697,0.0,1.0,7.405178194399923,3.968544430565089,0.296901144772768,0.07387894950807095,1.52274217069149,25.25,242.98245614035088,0.2067072685366521,0.4117411096729338,B2,64,31,33,B2_α=0.50_ε₀=0.50_λ=1.00,0.5625826817626369,,0.046875,0.06451612903225806,0.030303030303030304,0.53125,0.6129032258064516,0.45454545454545453
