#{"t_start": 1779482682.512862, "env_id": "None"}
r,l,t
-25.284353,121,1.538459
-26.530378,146,1.558642
3.3715372,155,1.565889
-21.20165,29,1.588938
1.9235898,184,1.588977
-21.025736,26,1.609561
-24.696737,107,1.623605
-23.44716,82,1.653499
2.57365,171,1.743962
-0.62106407,235,1.744
-25.012096,115,1.74402
3.072774,161,1.75021
-21.364613,33,1.769825
-21.498772,36,1.780017
-23.017979,73,1.803043
3.4244785,154,2.208726
2.6235657,170,2.212736
0.7227775,208,2.216806
-20.944721,24,2.228085
1.7749406,187,2.257838
-20.994053,25,2.277652
-26.314829,139,2.328474
2.9275784,164,2.359964
1.8734466,185,2.387755
3.2314982,158,2.416736
-20.985369,25,2.436205
3.2275739,158,2.462836
2.8247766,166,2.492798
3.4194021,154,2.510918
-24.484982,103,2.518784
-20.84796,22,2.528785
-24.349382,100,2.571871
-23.813631,81,2.697808
-21.198736,29,2.709885
1.8789121,185,2.723926
-21.103619,27,2.731044
-21.77585,43,2.731823
-23.113985,75,2.789997
0.027128326,222,2.818257
-23.316029,79,2.884136
0.37009728,215,2.897192
-20.894186,23,2.902621
-0.28174007,228,2.915337
2.9320822,164,2.923085
-26.113564,138,3.00586
1.6229898,190,3.058266
1.5720102,191,3.074146
2.0215688,182,3.075097
-23.950094,92,3.089099
-21.15033,28,3.101704
-24.017921,93,3.298087
-21.448828,35,3.333815
-25.44574,122,3.356747
-26.049217,135,3.356796
2.178,179,3.367938
-21.426186,34,3.391097
-21.40169,34,3.401946
-21.957523,44,3.446573
-25.7681,128,3.486073
2.7786722,167,3.503572
-21.39048,33,3.539618
-21.775244,43,3.586781
-24.173521,97,3.591266
1.4765483,193,3.593357
3.2321754,158,3.610832
-21.658085,38,3.624502
3.77108,147,3.711193
2.325994,176,3.863643
1.6750594,189,3.891425
1.9228288,184,3.900509
-21.488325,36,3.930182
-21.23757,30,3.957216
2.1752377,179,3.984192
3.565825,151,3.990488
-21.265093,31,4.015011
2.5729995,171,4.032863
-26.14271,138,4.067931
-25.20798,118,4.078239
3.5288925,152,4.135817
-24.530424,104,4.15034
-24.166908,96,4.154205
1.4668161,193,4.186238
-23.815495,89,4.206678
-25.585033,128,4.255899
-23.819422,89,4.256712
-20.936972,24,4.274738
-21.699564,41,4.424053
-24.01841,93,4.446908
-0.77619064,238,4.458891
2.1323256,180,4.476735
-24.992498,113,4.526022
-21.182257,29,4.548808
-24.906427,113,4.557504
-26.385061,143,4.572406
1.4308931,194,4.632464
3.230845,158,4.682483
-24.010965,93,4.705196
1.8797189,185,4.71847
-21.396362,34,4.731618
-0.77526844,238,4.736286
-23.369553,80,4.745184
-21.054123,26,4.765838
-23.466423,82,4.783285
-23.268377,78,4.798903
-25.107147,117,5.021435
1.3244783,196,5.034443
-21.708296,39,5.055819
3.7709079,147,5.064244
0.62485325,210,5.083937
-25.288036,121,5.182211
3.2797384,157,5.185433
3.0256495,162,5.19731
1.0678455,201,5.200484
-21.571379,38,5.212378
-20.93586,24,5.21986
-21.820091,44,5.232664
-21.41861,34,5.26489
-23.061535,74,5.277298
-21.041063,26,5.285887
-21.73424,42,5.310593
3.281011,157,5.316661
-21.127865,28,5.333287
-22.060707,46,5.352786
2.3754725,175,5.364636
-21.494492,36,5.61558
1.9690806,183,5.674424
-24.764677,108,5.71281
-23.667965,86,5.745895
0.074948415,221,5.75458
1.3739053,195,5.765684
-21.004683,25,5.765707
-21.40738,34,5.796606
-21.776472,43,5.807822
-25.44479,124,5.826621
-26.975513,154,5.912304
-25.016985,114,5.919596
2.2301908,178,5.988631
-23.514473,83,5.998646
1.6257983,190,6.014411
-21.574528,37,6.034303
3.3723335,155,6.063359
-21.359776,33,6.068871
-21.35637,33,6.22558
-24.960846,113,6.247375
3.5234318,152,6.256878
-21.859873,45,6.292866
-24.261616,99,6.327825
2.6198187,170,6.331819
3.1287322,160,6.354766
2.2757158,177,6.43422
-24.436808,103,6.43578
-21.894794,46,6.469625
2.0762186,181,6.473661
1.0784436,201,6.485519
-21.556618,38,6.503304
-21.46615,35,6.512589
-24.67231,107,6.518829
-21.306633,32,6.54353
2.5795174,171,6.632899
3.2758112,157,6.659337
-21.144447,28,6.824525
-21.384878,33,6.855285
2.8237495,166,6.855331
-24.053757,94,6.858636
0.62331593,210,6.858659
-21.253937,31,6.886493
-21.539581,37,6.891962
-21.1775,29,6.913635
-23.024275,73,6.923914
-24.825306,110,7.010257
-23.11676,75,7.063033
-23.00879,73,7.219653
1.4216787,194,7.240311
2.123166,180,7.259096
-21.784529,43,7.309644
2.3204894,176,7.322057
-26.229174,140,7.422503
-21.616407,38,7.470153
-25.761375,128,7.489093
1.9300796,184,7.507184
-21.736893,42,7.689815
