alpha,avg_cbf_a_mean,avg_cbf_a_std,avg_cbf_alpha_mean,avg_cbf_alpha_std,avg_cbf_c_mean,avg_cbf_c_std,avg_cbf_phi_mean,avg_cbf_phi_std,avg_deflection_mean,avg_deflection_std,avg_h_mean,avg_h_min,avg_qp_active_rate,avg_u_safe_clamp_rate,checkpoint,collision_rate,collision_rate_actual,collision_rate_corridor,collision_rate_open,collision_rate_perceived_only,fall_rate,fall_rate_corridor,fall_rate_open,frac_steps_close,goal_reach_rate,goal_reach_rate_corridor,goal_reach_rate_open,infeasibility_rate,mean_dist_traveled,mean_final_displacement,mean_h,mean_min_h,mean_phi_used,mean_start_latency,mean_time_to_goal,mean_v_along_cmd,mean_v_xy,mode,n_episodes,n_episodes_corridor,n_episodes_open,name,navigation_success_rate,navigation_success_rate_corridor,navigation_success_rate_open,path_efficiency,phi,stuck_rate,stuck_rate_corridor,stuck_rate_open,timeout_rate,timeout_rate_corridor,timeout_rate_open
0.5,0.05000000074505806,0.0,0.5001250505447388,0.0,-0.10000000149011612,0.0,0.004999935626983643,0.0,0.16350302072108025,0.24727594888256862,0.05347677063383162,-0.10170409625768662,0.4564375,0.0,,0.98989898989899,0.08080808080808081,0.98989898989899,0.0,0.9090909090909091,0.0,0.0,0.0,0.59778125,0.898989898989899,0.898989898989899,0.0,0.0,5.255676530226313,4.931194639266139,0.05347677063383162,-0.08150102995862865,0.004999935626983643,16.696969696969695,194.43820224719101,0.3982025637809422,0.5049599648863077,B0,99,99,0,B0_α=0.50,0.8383838383838383,0.8383838383838383,0.0,0.9300715715327017,,0.0,0.0,0.0,0.010101010101010102,0.010101010101010102,0.0
2.0,0.05000000074505806,0.0,2.0,0.0,-0.10000000149011612,0.0,0.004999935626983643,0.0,0.06819824337307102,0.14954343637263173,0.05534074142575264,-0.1087815831899643,0.27365625,0.0,,0.9333333333333333,0.01904761904761905,0.9333333333333333,0.0,0.9142857142857143,0.02857142857142857,0.02857142857142857,0.0,0.635265625,0.9333333333333333,0.9333333333333333,0.0,0.0,5.300353951113564,5.0627191427208125,0.05534074142575264,-0.0713280995686849,0.004999935626983643,16.83809523809524,140.90816326530611,0.43151151277391997,0.5495749700218439,B0,105,105,0,B0_α=2.00,0.8857142857142857,0.8857142857142857,0.0,0.9381606014707428,,0.0,0.0,0.0,0.0380952380952381,0.0380952380952381,0.0
3.0,0.05000000074505806,0.0,2.999875068664551,0.0,-0.10000000149011612,0.0,0.004999935626983643,0.0,0.02865403839355713,0.07889839233210659,0.03145525299012661,-0.10006076818704605,0.165859375,0.0,,0.941747572815534,0.0,0.941747572815534,0.0,0.941747572815534,0.04854368932038835,0.04854368932038835,0.0,0.699484375,0.9320388349514563,0.9320388349514563,0.0,0.0,5.371823625657165,5.142722777805282,0.03145525299012661,-0.07917790447623985,0.004999935626983643,15.572815533980583,133.55208333333334,0.4402552223936403,0.5693790328130126,B0,103,103,0,B0_α=3.00,0.8932038834951457,0.8932038834951457,0.0,0.942315856827925,,0.0,0.0,0.0,0.009708737864077669,0.009708737864077669,0.0
0.5,0.05000000074505806,0.0,0.5001250505447388,0.0,-0.10000000149011612,0.0,0.4999999701976776,0.0,0.29099718197900803,0.33274886618554594,0.06999829579144716,-0.09257216286659241,0.6784375,0.0,,1.0,0.10588235294117647,1.0,0.0,0.8941176470588236,0.0,0.0,0.0,0.50759375,0.8941176470588236,0.8941176470588236,0.0,0.0,5.409282518134398,4.888942325115204,0.06999829579144716,-0.057147400519427134,0.4999999701976776,20.223529411764705,228.44736842105263,0.36632473140134525,0.46205742803961036,B1,85,85,0,B1_α=0.50_φ=0.50,0.8117647058823529,0.8117647058823529,0.0,0.8993115463171799,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.05000000074505806,0.0,0.5001250505447388,0.0,-0.10000000149011612,0.0,2.0,0.0,0.7663262027204036,0.39455788519978524,0.14822663578391077,-0.0866767008304596,0.960125,0.0,,0.8243243243243243,0.06756756756756757,0.8243243243243243,0.0,0.7567567567567568,0.013513513513513514,0.013513513513513514,0.0,0.28571875,0.8108108108108109,0.8108108108108109,0.0,0.0,5.960430085256293,4.448331153271972,0.14822663578391077,-0.013111480184503504,2.0,24.33783783783784,215.41666666666666,0.3387017105125597,0.48150071190297605,B1,74,74,0,B1_α=0.50_φ=2.00,0.6216216216216216,0.6216216216216216,0.0,0.7220965933780429,2.0,0.0,0.0,0.0,0.10810810810810811,0.10810810810810811,0.0
2.0,0.05000000074505806,0.0,2.0,0.0,-0.10000000149011612,0.0,0.4999999701976776,0.0,0.10396713806425396,0.19234701989719177,0.055998328994959594,-0.09067754036188126,0.370296875,0.0,,0.9803921568627451,0.0392156862745098,0.9803921568627451,0.0,0.9411764705882353,0.0,0.0,0.0,0.661,0.9313725490196079,0.9313725490196079,0.0,0.0,5.347739864798153,5.111249940068114,0.055998328994959594,-0.059803546059365366,0.4999999701976776,21.15686274509804,148.66315789473686,0.4500052954679592,0.55249117879197,B1,102,102,0,B1_α=2.00_φ=0.50,0.8823529411764706,0.8823529411764706,0.0,0.9387926683240222,0.5,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549,0.0
2.0,0.05000000074505806,0.0,2.0,0.0,-0.10000000149011612,0.0,2.0,0.0,0.39473783897142856,0.35836253699660303,0.09409320271760226,-0.07230275446176529,0.707109375,0.0,,0.9583333333333334,0.041666666666666664,0.9583333333333334,0.0,0.9166666666666666,0.020833333333333332,0.020833333333333332,0.0,0.4133125,0.8958333333333334,0.8958333333333334,0.0,0.0,5.613222882151604,5.068916526933511,0.09409320271760226,-0.02913370169699192,2.0,16.5625,174.87209302325581,0.4255551428855601,0.5340640223622322,B1,96,96,0,B1_α=2.00_φ=2.00,0.8229166666666666,0.8229166666666666,0.0,0.8983617980650728,2.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0
3.0,0.05000000074505806,0.0,2.999875068664551,0.0,-0.10000000149011612,0.0,0.4999999701976776,0.0,0.07097970544878626,0.1424186403010972,0.03836972126737237,-0.08774031525850295,0.295953125,0.0,,0.9811320754716981,0.009433962264150943,0.9811320754716981,0.0,0.9716981132075472,0.018867924528301886,0.018867924528301886,0.0,0.702109375,0.9716981132075472,0.9716981132075472,0.0,0.0,5.549965562685481,5.377160022843559,0.03836972126737237,-0.07297450247800576,0.4999999701976776,12.09433962264151,138.51456310679612,0.45530795805039814,0.6047304351069033,B1,106,106,0,B1_α=3.00_φ=0.50,0.9528301886792453,0.9528301886792453,0.0,0.9674144890963449,0.5,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.05000000074505806,0.0,2.999875068664551,0.0,-0.10000000149011612,0.0,2.0,0.0,0.28792778570766675,0.351980717075523,0.07056666938960553,-0.08700938630104064,0.616234375,0.0,,0.9722222222222222,0.027777777777777776,0.9722222222222222,0.0,0.9444444444444444,0.027777777777777776,0.027777777777777776,0.0,0.534359375,0.8981481481481481,0.8981481481481481,0.0,0.0,5.392422320390189,5.07857250560213,0.07056666938960553,-0.030864668665108858,2.0,11.935185185185185,138.70103092783506,0.4398528544215383,0.5652600827179849,B1,108,108,0,B1_α=3.00_φ=2.00,0.8703703703703703,0.8703703703703703,0.0,0.9285973164794794,2.0,0.0,0.0,0.0,0.0,0.0,0.0
,0.05000000074505806,0.0,2.0737390776872635,0.6417265243530273,-0.10000000149011612,0.0,1.3132673976421356,1.3108354204297066,0.37383141194470226,0.5719582282081246,0.07623247436061502,-0.08986892217397689,0.495375,0.016734375,logs/rsl_rl/cbf_go2_teacher_rma/2026-05-21_23-51-34//model_950.pt,0.9578947368421052,0.06315789473684211,0.9578947368421052,0.0,0.8947368421052632,0.010526315789473684,0.010526315789473684,0.0,0.567234375,0.8842105263157894,0.8842105263157894,0.0,0.0,5.611025906863966,4.925703280223043,0.07623247436061502,-0.0476471179410031,1.3132673976421356,17.389473684210525,152.51190476190476,0.41523572509322754,0.560798184402287,BR,95,95,0,BR_teacher,0.8210526315789474,0.8210526315789474,0.0,0.8621912990241631,,0.0,0.0,0.0,0.031578947368421054,0.031578947368421054,0.0
