alpha,avg_cbf_a_mean,avg_cbf_a_std,avg_cbf_alpha_mean,avg_cbf_alpha_std,avg_cbf_c_mean,avg_cbf_c_std,avg_cbf_phi_mean,avg_cbf_phi_std,avg_deflection_mean,avg_deflection_std,avg_h_mean,avg_h_min,avg_qp_active_rate,avg_u_safe_clamp_rate,checkpoint,collision_rate,epsilon0,fall_rate,frac_steps_close,goal_reach_rate,infeasibility_rate,lambda,mean_dist_traveled,mean_final_displacement,mean_h,mean_min_h,mean_phi_used,mean_start_latency,mean_time_to_goal,mean_v_along_cmd,mean_v_xy,mode,n_episodes,name,path_efficiency,phi,stuck_rate,timeout_rate
0.5,0.0,0.0,0.4999999701976776,0.0,0.0,0.0,0.004999935626983643,0.0,0.18196627249845188,0.2588156986727845,0.36407359459996225,0.01799867731332779,0.436296875,0.0,,0.0,,0.2463768115942029,0.069109375,0.7971014492753623,0.0,,5.73216688460198,3.110565650074378,0.36399766796827315,0.1827475048493648,0.004999935626983643,12.014925373134329,158.36363636363637,0.14781574868177996,0.36575167248025536,B0,69,B0_α=0.50,0.6844290300364148,,0.2028985507246377,0.7536231884057971
2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.004999935626983643,0.0,0.15443942290736595,0.2653011872800998,0.2835928215533495,0.023539486348629,0.34596875,0.0,,0.0,,0.3382352941176471,0.104875,0.8382352941176471,0.0,,6.167782090166035,3.697747656965957,0.28342432363331316,0.10471222944119397,0.004999935626983643,11.411764705882353,137.05263157894737,0.18333114883420057,0.3770192163027823,B0,68,B0_α=2.00,0.6582038552514665,,0.14705882352941177,0.6617647058823529
4.0,0.0,0.0,3.999999761581421,0.0,0.0,0.0,0.004999935626983643,0.0,0.04822179569397122,0.13176644630730153,0.3247881171107292,0.028662124454975128,0.182390625,0.0,,0.0,,0.19696969696969696,0.09753125,0.8939393939393939,0.0,,6.961397163344152,3.9232494962034803,0.32478443068265916,0.14154983831174445,0.004999935626983643,12.515151515151516,141.84745762711864,0.17707540027447977,0.3995458960980177,B0,66,B0_α=4.00,0.6591504706436268,,0.21212121212121213,0.803030303030303
0.5,0.0,0.0,0.4999999701976776,0.0,0.0,0.0,0.4999999701976776,0.0,0.2674403170584774,0.32148592046747215,0.32581343659758566,0.024224438726902008,0.55546875,0.0,,0.0,,0.29411764705882354,0.074421875,0.7794117647058824,0.0,,5.418092036948485,3.0754870777840124,0.32563088911771776,0.1440092947553186,0.4999999701976776,12.015151515151516,184.81132075471697,0.14718442634694526,0.34789755588397386,B1,68,B1_α=0.50_φ=0.50,0.6063684525712641,0.5,0.20588235294117646,0.7058823529411765
0.5,0.0,0.0,0.4999999701976776,0.0,0.0,0.0,2.0,0.0,0.5030740854628384,0.4432218323498964,0.4029280360341072,0.04837808084487915,0.694640625,0.0,,0.0,,0.27941176470588236,0.022625,0.8676470588235294,0.0,,6.61717939420658,3.602430646033848,0.4029103401303291,0.19445706027395585,2.0,11.82089552238806,175.135593220339,0.1377742832659642,0.40223582986369727,B1,68,B1_α=0.50_φ=2.00,0.6170303699557141,2.0,0.20588235294117646,0.7205882352941176
2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4999999701976776,0.0,0.20109556284802965,0.29197764632105827,0.24545417499542235,0.016801586866378785,0.407984375,0.0,,0.0,,0.2537313432835821,0.09846875,0.8656716417910447,0.0,,5.560469514398433,3.1329700911222997,0.24538227672874927,0.07220212826088293,0.4999999701976776,11.378787878787879,152.1206896551724,0.1321237814956112,0.3405483213327825,B1,67,B1_α=2.00_φ=0.50,0.6420230495477268,0.5,0.16417910447761194,0.746268656716418
2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3408986694664927,0.4036176852998324,0.30305922745168207,0.021203262865543367,0.517296875,0.0,,0.0,,0.3382352941176471,0.08115625,0.8382352941176471,0.0,,5.896127752959728,3.3694771537009407,0.30291770857572553,0.15927530474522533,2.0,11.43939393939394,173.94736842105263,0.16573714464611838,0.363691226311028,B1,68,B1_α=2.00_φ=2.00,0.6537210887874739,2.0,0.22058823529411764,0.6617647058823529
4.0,0.0,0.0,3.999999761581421,0.0,0.0,0.0,0.4999999701976776,0.0,0.06914362160291057,0.1458202990917489,0.3291879519224167,0.03306965708732605,0.254546875,0.0,,0.0,,0.3380281690140845,0.04590625,0.8028169014084507,0.0,,6.644463938306755,3.1349500733571993,0.32910072526335715,0.1275966679546195,0.4999999701976776,13.608695652173912,155.52631578947367,0.15836705194468084,0.4271157871112227,B1,71,B1_α=4.00_φ=0.50,0.5890631628656389,0.5,0.1267605633802817,0.6619718309859155
4.0,0.0,0.0,3.999999761581421,0.0,0.0,0.0,2.0,0.0,0.23641313447111134,0.34606154545818574,0.28073891742527485,0.030034815788269043,0.405734375,0.0,,0.0,,0.36764705882352944,0.052859375,0.8529411764705882,0.0,,6.179303650470341,3.8944192590082394,0.28051425240933897,0.11612570285797119,2.0,12.149253731343284,138.55172413793105,0.1478158989259973,0.3884811285100877,B1,68,B1_α=4.00_φ=2.00,0.6640729258988557,2.0,0.10294117647058823,0.6323529411764706
0.5,0.0,0.0,0.4999999701976776,0.0,0.0,0.0,1.026411507487297,0.1864130781441927,0.33466025967523455,0.37983925330266355,0.4086450570821762,0.03295159709453583,0.543359375,0.0,,0.0,0.5,0.38571428571428573,0.04040625,0.8428571428571429,0.0,1.0,6.361585829939161,3.598530572812472,0.4085369498133659,0.17546883395739965,1.3834876462221146,11.782608695652174,158.42372881355934,0.15725108724168968,0.4164320421628654,B2,70,B2_α=0.50_ε₀=0.50_λ=1.00,0.6330678888261956,,0.14285714285714285,0.6142857142857143
