alpha,avg_cbf_a_mean,avg_cbf_a_std,avg_cbf_alpha_mean,avg_cbf_alpha_std,avg_cbf_c_mean,avg_cbf_c_std,avg_cbf_phi_mean,avg_cbf_phi_std,avg_deflection_mean,avg_deflection_std,avg_h_mean,avg_h_min,avg_qp_active_rate,avg_u_safe_clamp_rate,checkpoint,collision_rate,collision_rate_actual,collision_rate_corridor,collision_rate_open,collision_rate_perceived_only,epsilon0,fall_rate,fall_rate_corridor,fall_rate_open,frac_steps_close,goal_reach_rate,goal_reach_rate_corridor,goal_reach_rate_open,infeasibility_rate,lambda,mean_dist_traveled,mean_final_displacement,mean_h,mean_min_h,mean_phi_used,mean_start_latency,mean_time_to_goal,mean_v_along_cmd,mean_v_xy,mode,n_episodes,n_episodes_corridor,n_episodes_open,name,path_efficiency,phi,stuck_rate,stuck_rate_corridor,stuck_rate_open,timeout_rate,timeout_rate_corridor,timeout_rate_open
0.5,0.05000000074505806,0.0,0.5001250505447388,0.0,-0.10000000149011612,0.0,0.004999935626983643,0.0,0.32530300468945644,0.32960040945094077,0.1951736949533224,-0.10343180710077286,0.611328125,0.0,,0.7878787878787878,0.18181818181818182,0.8285714285714286,0.7419354838709677,0.6060606060606061,,0.0,0.0,0.0,0.441203125,0.9090909090909091,0.9142857142857143,0.9032258064516129,0.0,,5.874111551226991,3.1660717807032843,0.1951045391857624,-0.016068745743144642,0.004999935626983643,11.530303030303031,150.21666666666667,0.12431240647286507,0.33253745291009545,B0,66,35,31,B0_α=0.50,0.6301627514971383,,0.045454545454545456,0.05714285714285714,0.03225806451612903,0.21212121212121213,0.17142857142857143,0.25806451612903225
2.0,0.05000000074505806,0.0,2.0,0.0,-0.10000000149011612,0.0,0.004999935626983643,0.0,0.18074991448022776,0.26781621514889414,0.1678275214061141,-0.12599491119384765,0.394375,0.0,,0.8636363636363636,0.21212121212121213,0.9032258064516129,0.8285714285714286,0.6515151515151515,,0.0,0.0,0.0,0.5966875,0.9242424242424242,0.967741935483871,0.8857142857142857,0.0,,6.309292227932901,3.7705386599356476,0.167762968249619,-0.04191864710865599,0.004999935626983643,20.166666666666668,122.98360655737704,0.14646845748489806,0.35869805569574237,B0,66,31,35,B0_α=2.00,0.6450671915163466,,0.030303030303030304,0.03225806451612903,0.02857142857142857,0.13636363636363635,0.0967741935483871,0.17142857142857143
3.0,0.05000000074505806,0.0,2.999875068664551,0.0,-0.10000000149011612,0.0,0.004999935626983643,0.0,0.16553589660360013,0.2784551421450451,0.20883406083285808,-0.11785773080587388,0.341796875,0.0,,0.8783783783783784,0.3783783783783784,0.90625,0.8571428571428571,0.5,,0.013513513513513514,0.03125,0.0,0.5258125,0.918918918918919,0.9375,0.9047619047619048,0.0,,6.45434546752556,3.2421739617916376,0.20881637625396252,-0.02440077710796047,0.004999935626983643,16.68918918918919,128.76470588235293,0.19724106951577144,0.4310322405770421,B0,74,32,42,B0_α=3.00,0.6255719826020125,,0.013513513513513514,0.03125,0.0,0.10810810810810811,0.0625,0.14285714285714285
0.5,0.05000000074505806,0.0,0.5001250505447388,0.0,-0.10000000149011612,0.0,0.4999999701976776,0.0,0.36243705034673984,0.369025915753009,0.23607170817255974,-0.10589276325702668,0.616875,0.0,,0.7647058823529411,0.29411764705882354,0.8648648648648649,0.6451612903225806,0.47058823529411764,,0.029411764705882353,0.0,0.06451612903225806,0.333703125,0.8823529411764706,0.918918918918919,0.8387096774193549,0.0,,5.877536028185311,3.589043448514798,0.23596094162762166,0.019711180644876817,0.4999999701976776,15.411764705882353,183.38333333333333,0.14794982868470086,0.3845218295417726,B1,68,37,31,B1_α=0.50_φ=0.50,0.6424366666763269,0.5,0.04411764705882353,0.05405405405405406,0.03225806451612903,0.20588235294117646,0.13513513513513514,0.2903225806451613
0.5,0.05000000074505806,0.0,0.5001250505447388,0.0,-0.10000000149011612,0.0,2.0,0.0,0.6019669591840356,0.44757771768420934,0.3320968086719513,-0.12331753766536713,0.796375,0.0,,0.5428571428571428,0.3142857142857143,0.42857142857142855,0.6571428571428571,0.22857142857142856,,0.04285714285714286,0.05714285714285714,0.02857142857142857,0.170296875,0.8,0.7428571428571429,0.8571428571428571,0.0,,6.2636539280414585,3.3419692325804915,0.33209122660756113,0.08365705268723624,2.0,21.557142857142857,225.57142857142858,0.15663086757729539,0.3856650940328836,B1,70,35,35,B1_α=0.50_φ=2.00,0.5361450489412297,2.0,0.08571428571428572,0.11428571428571428,0.05714285714285714,0.4142857142857143,0.5142857142857142,0.3142857142857143
2.0,0.05000000074505806,0.0,2.0,0.0,-0.10000000149011612,0.0,0.4999999701976776,0.0,0.24278129444498608,0.33558514431633374,0.14855944312363864,-0.1188666832447052,0.44915625,0.0,,0.8840579710144928,0.3188405797101449,0.8888888888888888,0.8787878787878788,0.5652173913043478,,0.014492753623188406,0.027777777777777776,0.0,0.58965625,0.9420289855072463,0.9444444444444444,0.9393939393939394,0.0,,6.478598069885503,3.3645499465258224,0.1484801768474281,-0.052195284677588424,0.4999999701976776,22.55072463768116,151.66153846153847,0.173811787352399,0.39454821712523697,B1,69,36,33,B1_α=2.00_φ=0.50,0.6015304979104233,0.5,0.0,0.0,0.0,0.10144927536231885,0.08333333333333333,0.12121212121212122
2.0,0.05000000074505806,0.0,2.0,0.0,-0.10000000149011612,0.0,2.0,0.0,0.4775438263889519,0.4537097050715238,0.2139853024482727,-0.09585158908367157,0.6241875,0.0,,0.6521739130434783,0.4057971014492754,0.5625,0.7297297297297297,0.2463768115942029,,0.028985507246376812,0.0,0.05405405405405406,0.25903125,0.927536231884058,0.96875,0.8918918918918919,0.0,,6.513248494569806,3.563486111930747,0.21391326685249806,0.009726978730464327,2.0,12.029411764705882,190.984375,0.19244244898708376,0.41096459767594934,B1,69,32,37,B1_α=2.00_φ=2.00,0.5799007946471979,2.0,0.0,0.0,0.0,0.3188405797101449,0.4375,0.21621621621621623
3.0,0.05000000074505806,0.0,2.999875068664551,0.0,-0.10000000149011612,0.0,0.4999999701976776,0.0,0.20035022280784323,0.29970185428950935,0.11972332771494984,-0.11984359037876129,0.402859375,0.0,,0.9420289855072463,0.4492753623188406,0.9666666666666667,0.9230769230769231,0.4927536231884058,,0.0,0.0,0.0,0.616671875,0.9130434782608695,0.9666666666666667,0.8717948717948718,0.0,,5.365837362365446,2.8433761218751687,0.11962743834033608,-0.08386279189068338,0.4999999701976776,39.26086956521739,138.82539682539684,0.17038364956650043,0.3710521763525903,B1,69,30,39,B1_α=3.00_φ=0.50,0.5829637248609489,0.5,0.014492753623188406,0.03333333333333333,0.0,0.057971014492753624,0.03333333333333333,0.07692307692307693
3.0,0.05000000074505806,0.0,2.999875068664551,0.0,-0.10000000149011612,0.0,2.0,0.0,0.4629670863454812,0.4386642577205785,0.16223725816607476,-0.13868110352754592,0.5996875,4.6875e-05,,0.8169014084507042,0.38028169014084506,0.875,0.7419354838709677,0.43661971830985913,,0.04225352112676056,0.025,0.06451612903225806,0.44640625,0.9154929577464789,0.975,0.8387096774193549,0.0,,6.408524123715683,3.280382537086245,0.16219150124490261,-0.02187393332870913,2.0,17.661971830985916,138.09230769230768,0.2000641278578412,0.4348736142069101,B1,71,40,31,B1_α=3.00_φ=2.00,0.5624304763100987,2.0,0.014084507042253521,0.0,0.03225806451612903,0.14084507042253522,0.1,0.1935483870967742
0.5,0.05000000074505806,0.0,0.5001250505447388,0.0,-0.10000000149011612,0.0,1.5245179022550583,0.34831712232530115,0.5954867229671218,0.47515075600892304,0.3039645915925503,-0.120710744202137,0.742390625,0.0,,0.6666666666666666,0.34782608695652173,0.6857142857142857,0.6470588235294118,0.3188405797101449,0.5,0.028985507246376812,0.02857142857142857,0.029411764705882353,0.194140625,0.855072463768116,0.8857142857142857,0.8235294117647058,0.0,1.0,5.9393175874931226,3.4699513954312904,0.303904678106308,0.057144862154255745,1.5245179022550583,23.144927536231883,199.08474576271186,0.2078225067790808,0.40095056327059864,B2,69,35,34,B2_α=0.50_ε₀=0.50_λ=1.00,0.5956797755611991,,0.11594202898550725,0.11428571428571428,0.11764705882352941,0.30434782608695654,0.2857142857142857,0.3235294117647059
0.5,0.05000000074505806,0.0,0.5001250505447388,0.0,-0.10000000149011612,0.0,1.1010922042131424,0.6578717820644379,0.5648307689465583,0.4719292975924909,0.2847361909151077,-0.11031306236982345,0.719734375,0.00084375,,0.6376811594202898,0.4057971014492754,0.6388888888888888,0.6363636363636364,0.2318840579710145,0.5,0.0,0.0,0.0,0.188703125,0.9130434782608695,0.9722222222222222,0.8484848484848485,0.0,3.0,7.187391552372255,3.792487903241662,0.28469743637740613,0.03085720798243647,1.1010922042131424,16.55072463768116,176.984126984127,0.22637873453693994,0.45048842822760343,B2,69,36,33,B2_α=0.50_ε₀=0.50_λ=3.00,0.566290865662912,,0.014492753623188406,0.0,0.030303030303030304,0.36231884057971014,0.3611111111111111,0.36363636363636365
